Word,Pinyin,POS,Translation
表白,biǎobái,动,
表决,biǎojué,动,
表述,biǎoshù,动,
表率,biǎoshuài,名,
表态,biǎotài,动,
表彰,biǎozhāng,动,
憋,biē,动、形,
别具匠心,biéjù-jiàngxīn,,
别看,biékàn,连,
别墅,biéshù,名,
别说,biéshuō,连,
别致,biézhì,形,
别扭,bièniu,形,
彬彬有礼,bīnbīn-yǒulǐ,,
缤纷,bīnfēn,形,
濒临,bīnlín,动,
濒危,bīnwēi,动,
冰雹,bīngbáo,名,
冰棍儿,bīnggùnr,名,
冰山一角,bīngshān-yìjiǎo,,
冰天雪地,bīngtiān-xuědì,,
丙,bǐng,名,
秉承,bǐngchéng,动,
秉持,bǐngchí,动,
并发症,bìngfāzhèng,名,
并非,bìngfēi,动,
并购,bìnggòu,动,
并肩,bìngjiān,动、副,
病历,bìnglì,名,
并列,bìngliè,动,
并行,bìngxíng,动,
病症,bìngzhèng,名,
拨,bō,动、量,
波动,bōdòng,动,
剥夺,bōduó,动,
波及,bōjí,动,
拨款,bōkuǎn,动、名,
波澜,bōlán,名,
波浪,bōlàng,名,
波涛,bōtāo,名,
剥削,bōxuē,动,
波折,bōzhé,名,
伯伯,bóbo,名,
博大精深,bódà-jīngshēn,,
搏斗,bódòu,动,
伯父,bófù,名,
驳回,bóhuí,动,
伯母,bómǔ,名,
博学,bóxué,形,
博弈,bóyì,动,
不算,bú suàn,,
不当,búdàng,形,
不定,búdìng,形、副,
不动产,búdòngchǎn,名,
不见得,bújiàndé,副,
不愧,búkuì,副,
不力,búlì,形,
不妙,búmiào,形,
不慎,búshèn,形,
不下,búxià,动,
不像话,búxiànghuà,形,
不肖,búxiào,形,
不屑,búxiè,动,
不懈,búxiè,形,
不厌其烦,búyàn-qífán,,
不亚于,búyàyú,动,
不翼而飞,búyì’érfēi,,
不亦乐乎,búyìlèhū,,
不正之风,búzhèngzhīfēng,,
捕获,bǔhuò,动,
补给,bǔjǐ,动、名,
补救,bǔjiù,动,
哺乳,bǔrǔ,动,
捕食,bǔshí,动,
哺育,bǔyù,动,
补助,bǔzhù,动、名,
捕捉,bǔzhuō,动,
不经意,bù jīngyì,,
不予,bù yǔ,,
不准,bù zhǔn,,
不耻下问,bùchǐ-xiàwèn,,
不辞而别,bùcí’érbié,,
不得而知,bùdé’érzhī,,
不得已,bùdéyǐ,形,
不乏,bùfá,动,
步伐,bùfá,名,
不法,bùfǎ,形,
不妨,bùfáng,副,
不服,bùfú,动,
不敢当,bùgǎndāng,动,
不及,bùjí,动,
部件,bùjiàn,名,
不假思索,bùjiǎ-sīsuǒ,,
不解,bùjiě,动,
不景气,bùjǐngqì,形,
布局,bùjú,动、名,
不堪,bùkān,动、形,
不可或缺,bùkě-huòquē,,
不可思议,bùkě-sīyì,,
不了了之,bùliǎo-liǎozhī,,
不免,bùmiǎn,副,
不平,bùpíng,形,
不容,bùróng,动,
步入,bùrù,动,
部首,bùshǒu,名,
部署,bùshǔ,动,
不惜,bùxī,动,
不相上下,bùxiāng-shàngxià,,
不言而喻,bùyán’éryù,,
不以为然,bùyǐwéirán,,
不由得,bùyóude,动、副,
不由自主,bùyóuzìzhǔ,,
不约而同,bùyuē’értóng,,
不折不扣,bùzhé-búkòu,,
不知不觉,bùzhī-bùjué,,
不知所措,bùzhī-suǒcuò,,
猜想,cāixiǎng,动,
裁,cái,动,
裁定,cáidìng,动,
裁缝,cáifeng,名,
才干,cáigàn,名,
财经,cáijīng,名,
裁决,cáijué,动,
财力,cáilì,名,
裁员,cáiyuán,动,
财政,cáizhèng,名,
采,cǎi,动,
采矿,cǎikuàng,动,
采摘,cǎizhāi,动,
菜肴,càiyáo,名,
参见,cānjiàn,动,
参谋,cānmóu,名、动,
参照,cānzhào,动,
残,cán,动,
残酷,cánkù,形,
惭愧,cánkuì,形,
残留,cánliú,动,
残缺,cánquē,动,
残忍,cánrěn,形,
惨,cǎn,形,
惨白,cǎnbái,形,
惨痛,cǎntòng,形,
惨重,cǎnzhòng,形,
灿烂,cànlàn,形,
舱,cāng,名,
苍白,cāngbái,形,
仓促,cāngcù,形,
沧桑,cāngsāng,名,
苍蝇,cāngying,名,
藏匿,cángnì,动,
藏品,cángpǐn,名,
藏身,cángshēn,动,
操控,cāokòng,动,
操劳,cāoláo,动,
操练,cāoliàn,动,
操心,cāoxīn,动,
操纵,cāozòng,动,
嘈杂,cáozá,形,
草案,cǎo’àn,名,
草丛,cǎocóng,名,
草坪,cǎopíng,名,
草率,cǎoshuài,形,
草药,cǎoyào,名,
测定,cèdìng,动,
侧面,cèmiàn,名,
测算,cèsuàn,动,
测验,cèyàn,动、名,
侧重,cèzhòng,动,
层出不穷,céngchū-bùqióng,,
蹭,cèng,动,
差错,chācuò,名,
差额,chā’é,名、形,
插曲,chāqǔ,名,
插手,chāshǒu,动,
插图,chātú,名,
插嘴,chāzuǐ,动,
查处,cháchǔ,动,
查获,cháhuò,动,
察觉,chájué,动,
察看,chákàn,动,
查明,chámíng,动,
岔,chà,名、动,
刹那,chànà,名,
诧异,chàyì,形,
拆迁,chāiqiān,动,
柴油,cháiyóu,名,
掺,chān,动,
搀,chān,动,
馋,chán,形、动,
缠,chán,动,
缠绕,chánrào,动,
铲,chǎn,名、动,
产权,chǎnquán,名,
阐释,chǎnshì,动,
阐述,chǎnshù,动,
产物,chǎnwù,名,
产业链,chǎnyèliàn,名,
产值,chǎnzhí,名,
颤抖,chàndǒu,动,
猖狂,chāngkuáng,形,
昌盛,chāngshèng,形,
偿还,chánghuán,动,
常理,chánglǐ,名,
长期以来,chángqī yǐlái,,
常人,chángrén,名,
常态,chángtài,名,
长效,chángxiào,名、形,
长征,chángzhēng,动、名,
长足,chángzú,形,
敞开,chǎngkāi,动、副,
倡导,chàngdǎo,动,
唱片,chàngpiàn,名,
畅谈,chàngtán,动,
倡议,chàngyì,动、名,
超标,chāobiāo,动,
钞票,chāopiào,名,
超前,chāoqián,形、动,
抄袭,chāoxí,动,
潮,cháo,名、形,
嘲弄,cháonòng,动,
潮水,cháoshuǐ,名,
巢穴,cháoxué,名,
炒作,chǎozuò,动,
车间,chējiān,名,
扯,chě,动,
撤,chè,动,
撤离,chèlí,动,
撤退,chètuì,动,
彻夜,chèyè,副,
沉淀,chéndiàn,动、名,
沉甸甸,chéndiàndiàn,形,
沉浸,chénjìn,动,
陈旧,chénjiù,形,
陈列,chénliè,动,
沉闷,chénmèn,形,
沉迷,chénmí,动,
陈述,chénshù,动,
沉睡,chénshuì,动,
沉思,chénsī,动,
沉稳,chénwěn,形,
沉着,chénzhuó,形,
趁机,chènjī,副,
